,PMID,Other_term
1100,26362882,arrhythmias---cardiopulmonary arrest---critical care---ecg---physiologic monitoring---telemetry
1104,27818309,heart failure---adherence---interventions---readmissions---self-care---telemonitoring
1106,25651872,alivecor---atrial fibrillation---electrocardiogram---screening---smartphone---telemetry
1107,27352948,anxiety---depression---heart failure---home tele-monitoring---perceived control---technology capability
1109,26989069,"behavior change---decision making---diabetes---mhealth---patient education---positive technology cois research, authorship, and/or publication of this article."
1113,26409227,autocorrelation---compressive sampling---hurst exponent---receiver operating characteristics---telecardiology
1114,27815494,telecardiology---remote consultation---telehealth
1115,27273306,congenital---heart defects---mass screening---telemedicine
1116,27339715,care transitions---self-management---telehealth
1119,26027939,arrhythmias---biopatch---electrocardiogram---health status---wireless monitoring technology
1120,27521554,icd---remote monitoring
1121,27271001,heart failure---implantable cardioverter-defibrillators---radiofrequency catheter ablation---telemedicine---ventricular premature complexes
1122,27689956,cardiology---cardiovascular disease---home health monitoring---medical records---telehealth cois
1123,25707036,ehealth---electronic health record---electronic patient portal---patient web portal---personal health record cois
1126,26431259,prehospital care---telemedicine---time from symptoms
1127,27329050,cardiac diseases---rural---urban---utility---m-health
1129,26122274,rtmus---remote telementored ultrasound systems---tele-icu---tele-intensivist---tele-ultrasound
1131,27348634,congestive heart failure---integrated health---tele-coaching---tele-health
1133,25983310,cardiac decompensation---fluid monitoring---heart failure---optivol fluid index---remote monitoring---telemedicine
1134,25587092,"epidemiology---heart failure---patient readmission---quality of health care cois www.icmje.org/coi_disclosure.pdf (available on request from the corresponding author) and declare that all authors have support from the centers for medicare & medicaid services for the submitted work. dr. krumholz is a recipient of research grants from medtronic and from johnson & johnson, through yale university, to develop methods of clinical trial data sharing and is chair of a cardiac scientific advisory board for unitedhealth."
1135,27064361,clinical pathway---congestive heart failure---home care---hospital readmissions---nurse practitioner---telemonitoring
1136,26915719,advanced practice nurse---cardiac rehabilitation---health-related outcomes---postacute myocardial infarction---readmissions---telehealth
1137,27340918,atrial fibrillation---implantable cardioverter defibrillators---pacemakers---remote monitoring---stroke---telemedicine
1143,25981148,cardiac resynchronization therapy---cardiac resynchronization therapy-defibrillator---implantable cardioverter-defibrillator---pacemaker---remote monitoring
1145,27659352,heart sounds---mobile health---phonocardiography---signal quality
1150,27334562,internet science---rct---vas---dropout---ehealth---measurement---visual analogue scale cois
1151,28460766,cardiovascular diseases---cell phones---india---prevention and control---rural health---telemedicine
1152,27894480,coordination---coordination of care---heart failure---insuffisance cardiaque---proximity---proximité---remote patient monitoring---télésurveillance
1155,27580831,respiratory medicine (see thoracic medicine)
1156,25903278,heart failure---hospitalizations---mortality---remote monitoring---self-management---telemonitoring cois
1157,27757986,eating---men's health---motor activity---rural health---telemedicine
1158,26037921,heart failure---mobile health---personalised healthcare---remote health monitoring---telemedicine---usability
1160,28019051,result study---heart failure---integrated platform---remote monitoring cois
1161,27450573,telemedicine---disease management---heart failure---meta-analysis---quality of life
1162,27257094,ambulatory ecg monitoring---atrial fibrillation---cardiac arrhythmias---catheter ablation---event recorder monitoring---palpitations---telemedicine
1163,28153209,acute heart failure---apnea hypopnea index---sleep apnea syndrome---telemonitoring
1165,27955682,cost-effectiveness---denmark---effectiveness---heart failure---randomized trial---telemedicine
1167,27401505,goals of care---communication---end of life---heart failure---palliative care
1169,27439396,cardiac implantable electronic devices---remote monitoring
1171,26514079,computer decision support---disease management---heart failure---ict-guided disease-management---telemonitoring
1174,27166202,caregivers---congenital---mortality---survival---telemedicine
1175,26559927,catheterization---congenital---consultation---patient privacy---smart technology
1177,27334627,electrocardiogram---electrocardiogram and heart failure---heart failure---monitoring of patients with heart failure---peripheral edema and the electrocardiogram---remote monitoring of patients with heart failure---smart phone-based technology and the electrocardiogram
1178,27269513,development---diabetes mellitus---evaluation---primary healthcare---telemedicine
1179,27641539,chd---decision making---doctor–patient communication---ehealth interventions---ehealth literacy---internet
1180,27006267,facetime---rtmus---remote telementored ultrasound systems---tele-icu---tele-intensivist---tele-ultrasound
1181,26105725,"death, sudden, cardiac---defibrillators, implantable---models, organizational---remote monitoring---telemedicine"
1182,27084274,health risk assessment---patient stratification---case finding---chronic care---clinical decision making
1183,26395147,medical informatics---blood pressure monitoring---cardiovascular diseases---evaluation studies---medication adherence---myocardial infarction---patient empowerment
1184,26031737,aged---heart failure---long-term care---prevention---telemedicine
1185,26907584,"acute coronary syndrome---ehealth---mobile health---patient-centered care---person-centred care: telemedicine---self-efficacy cois develops mobile apps, and the mobile app discussed in this article has been developed by that company. other authors have no conflicts of interest to declare."
