,PMID,Publication_type
1645,30193564,journal article
1645,30193564,randomized controlled trial
1646,30241511,journal article
1646,30241511,randomized controlled trial
1646,30241511,"research support, non-u.s. gov't"
1647,29742035,journal article
1647,29742035,"research support, non-u.s. gov't"
1648,30598367,journal article
1648,30598367,"research support, non-u.s. gov't"
1649,30036634,journal article
1650,30393915,clinical trial
1650,30393915,journal article
1650,30393915,"research support, non-u.s. gov't"
1651,27886024,journal article
1652,28420352,journal article
1652,28420352,randomized controlled trial
1653,30081933,clinical trial protocol
1653,30081933,journal article
1654,30553130,journal article
1654,30553130,multicenter study
1654,30553130,randomized controlled trial
1654,30553130,"research support, non-u.s. gov't"
1655,29267539,journal article
1655,29267539,observational study
1656,28521796,journal article
1656,28521796,randomized controlled trial
1656,28521796,"research support, non-u.s. gov't"
1657,30028715,journal article
1658,29450689,journal article
1658,29450689,multicenter study
1658,29450689,randomized controlled trial
1659,28481825,journal article
1659,28481825,randomized controlled trial
1660,29678964,journal article
1660,29678964,observational study
1660,29678964,"research support, non-u.s. gov't"
1661,29952216,journal article
1662,28654302,journal article
1663,28119390,journal article
1663,28119390,observational study
1663,28119390,"research support, non-u.s. gov't"
1664,29132622,journal article
1665,28244117,journal article
1665,28244117,multicenter study
1665,28244117,randomized controlled trial
1666,30421438,journal article
1666,30421438,multicenter study
1667,29441511,journal article
1667,29441511,practice guideline
1668,30086778,clinical trial protocol
1668,30086778,journal article
1669,29458404,clinical trial protocol
1669,29458404,journal article
1670,28484920,journal article
1671,29742959,journal article
1671,29742959,multicenter study
1671,29742959,randomized controlled trial
1672,27496248,journal article
1673,28508792,journal article
1673,28508792,meta-analysis
1674,29488798,comparative study
1674,29488798,journal article
1674,29488798,randomized controlled trial
1674,29488798,"research support, non-u.s. gov't"
1676,28615152,journal article
1677,29160826,journal article
1678,30213005,journal article
1678,30213005,randomized controlled trial
1679,28659253,journal article
1680,29157233,journal article
1680,29157233,multicenter study
1681,28458534,comparative study
1681,28458534,journal article
1681,28458534,observational study
1681,28458534,validation study
1682,28176442,journal article
1682,28176442,observational study
1683,28533100,journal article
1683,28533100,randomized controlled trial
1684,28859648,clinical trial
1684,28859648,journal article
1685,30566211,clinical trial protocol
1685,30566211,journal article
1686,29477974,journal article
1687,30300744,journal article
1688,30261884,journal article
1689,32526627,journal article
1689,32526627,review
1690,31171391,journal article
1690,31171391,review
1691,31706789,journal article
1691,31706789,review
1692,33387997,journal article
1692,33387997,review
1693,31230937,journal article
1693,31230937,review
1694,31672308,journal article
1694,31672308,"research support, non-u.s. gov't"
1694,31672308,review
1695,31722151,journal article
1695,31722151,pragmatic clinical trial
1695,31722151,"research support, non-u.s. gov't"
1697,32656626,journal article
1697,32656626,review
1698,33243384,journal article
1698,33243384,"research support, n.i.h., extramural"
1698,33243384,review
1699,33387993,journal article
1699,33387993,review
1700,31820334,journal article
1700,31820334,randomized controlled trial
1700,31820334,"research support, non-u.s. gov't"
1701,32790752,journal article
1701,32790752,review
1702,31833835,clinical trial
1702,31833835,journal article
1702,31833835,"research support, non-u.s. gov't"
1703,32730613,journal article
1703,32730613,randomized controlled trial
1703,32730613,"research support, n.i.h., extramural"
1704,32673222,journal article
1704,32673222,multicenter study
1704,32673222,randomized controlled trial
1704,32673222,"research support, non-u.s. gov't"
1705,32628615,journal article
1705,32628615,meta-analysis
1705,32628615,review
1705,32628615,systematic review
1706,32282044,journal article
1706,32282044,randomized controlled trial
1706,32282044,"research support, n.i.h., extramural"
1707,30831331,clinical trial protocol
1707,30831331,journal article
1707,30831331,multicenter study
1707,30831331,randomized controlled trial
1707,30831331,"research support, non-u.s. gov't"
1708,32555550,editorial
1709,32921719,journal article
1709,32921719,review
1710,31210136,journal article
1710,31210136,systematic review
1711,31365840,journal article
1711,31365840,review
1712,32936209,journal article
1712,32936209,"research support, non-u.s. gov't"
1713,32561497,journal article
1713,32561497,"research support, non-u.s. gov't"
1714,31758214,journal article
1714,31758214,review
1715,31228414,comparative study
1715,31228414,journal article
1715,31228414,randomized controlled trial
1715,31228414,"research support, non-u.s. gov't"
1716,33276826,editorial
1717,32613635,journal article
1717,32613635,"research support, non-u.s. gov't"
1717,32613635,systematic review
1718,30925598,journal article
1719,32354446,editorial
1720,32783722,editorial
1721,31068028,journal article
1721,31068028,review
1722,33500760,journal article
1722,33500760,review
1723,32893318,journal article
1723,32893318,review
1724,33525237,journal article
1724,33525237,review
1725,30794860,journal article
1725,30794860,"research support, non-u.s. gov't"
1725,30794860,review
1726,32434631,journal article
1726,32434631,review
1727,31197564,journal article
1727,31197564,meta-analysis
1727,31197564,"research support, non-u.s. gov't"
1727,31197564,review
1728,32539486,journal article
1729,30820589,journal article
1729,30820589,review
1730,31493913,comment
1730,31493913,editorial
1731,31823400,journal article
1731,31823400,review
1732,30667278,journal article
1733,32650860,journal article
1733,32650860,"research support, non-u.s. gov't"
1733,32650860,review
1735,33500756,journal article
1735,33500756,review
1736,31543181,journal article
1736,31543181,review
1737,32891113,journal article
1738,33500759,journal article
1738,33500759,review
1739,33137309,journal article
1740,33302716,journal article
1741,31801130,journal article
1741,31801130,review
1742,32646884,comment
1742,32646884,editorial
1743,32536214,journal article
1743,32536214,review
1744,31621874,journal article
1744,31621874,"research support, non-u.s. gov't"
1745,31693482,introductory journal article
1746,32410898,letter
1747,33087611,journal article
1747,33087611,review
1748,33037682,journal article
1748,33037682,review
1749,31001994,comment
1749,31001994,editorial
1750,31410560,journal article
1750,31410560,review
1751,32268139,journal article
1752,32855098,comment
1752,32855098,letter
1753,32978323,introductory journal article
1754,30789311,journal article
1756,31058734,journal article
1757,32453424,journal article
1757,32453424,"research support, n.i.h., extramural"
1758,32197444,evaluation study
1758,32197444,journal article
1759,32108502,comment
1759,32108502,editorial
1759,32108502,"research support, u.s. gov't, p.h.s."
1760,32513626,letter
1761,32552559,journal article
1761,32552559,"research support, non-u.s. gov't"
1761,32552559,review
1762,33108998,journal article
1763,30667588,journal article
1763,30667588,randomized controlled trial
1764,33216256,journal article
1764,33216256,review
1765,31254373,editorial
1765,31254373,introductory journal article
1766,33129394,journal article
1766,33129394,"research support, non-u.s. gov't"
1766,33129394,review
1767,32532445,journal article
1767,32532445,review
1768,31573902,journal article
1768,31573902,"research support, non-u.s. gov't"
1768,31573902,review
1769,32928780,journal article
1769,32928780,review
1770,30892455,journal article
1770,30892455,review
1771,33232587,journal article
1771,33232587,review
1772,32534691,editorial
1773,33323205,comment
1773,33323205,journal article
1774,31926853,journal article
1774,31926853,review
1775,32680654,editorial
1775,32680654,"research support, non-u.s. gov't"
1776,30637467,journal article
1776,30637467,review
1778,32713447,journal article
1778,32713447,review
1779,32051388,comment
1779,32051388,editorial
1780,31375253,comment
1780,31375253,editorial
1781,31296594,comment
1781,31296594,editorial
1782,32924576,journal article
1782,32924576,review
1783,31450991,journal article
1783,31450991,review
1785,32719930,journal article
1785,32719930,review
1786,32791487,journal article
1786,32791487,"research support, u.s. gov't, non-p.h.s."
1786,32791487,review
1787,33190750,editorial
1788,32352394,journal article
1788,32352394,"research support, non-u.s. gov't"
1788,32352394,review
1789,31047009,comment
1789,31047009,editorial
1790,32907516,journal article
1790,32907516,"research support, non-u.s. gov't"
1791,32817266,journal article
1791,32817266,multicenter study
1791,32817266,randomized controlled trial
1791,32817266,"research support, n.i.h., extramural"
1792,30833844,journal article
1792,30833844,review
1793,30681548,journal article
1794,32522097,journal article
1794,32522097,"research support, non-u.s. gov't"
1795,31327518,journal article
1795,31327518,review
1796,32020271,journal article
1796,32020271,review
1797,33227417,journal article
1797,33227417,"research support, n.i.h., extramural"
1797,33227417,"research support, non-u.s. gov't"
1797,33227417,review
1798,33021815,journal article
1798,33021815,review
1799,32487487,journal article
1799,32487487,"research support, non-u.s. gov't"
1800,33253511,journal article
1800,33253511,review
1802,32711839,journal article
1802,32711839,review
1803,31291794,journal article
1804,33276628,journal article
1804,33276628,systematic review
1805,32866314,journal article
1805,32866314,review
1806,31801829,comment
1806,31801829,journal article
1806,31801829,"research support, non-u.s. gov't"
1806,31801829,review
1807,33172746,journal article
1808,30879369,comment
1808,30879369,editorial
1808,30879369,"research support, n.i.h., extramural"
1808,30879369,"research support, non-u.s. gov't"
1809,32692972,journal article
1809,32692972,review
1810,30879372,journal article
1812,32571376,letter
1813,32888638,journal article
1813,32888638,review
1814,30836931,journal article
1814,30836931,review
1815,33170984,letter
1816,33500755,journal article
1816,33500755,review
1817,32543906,journal article
1817,32543906,review
1818,34247227,letter
1819,32810386,journal article
1820,33259003,journal article
1821,32819483,journal article
1821,32819483,review
1822,32424786,journal article
1822,32424786,"research support, non-u.s. gov't"
1824,32519321,journal article
1825,33383058,journal article
1825,33383058,review
1826,31445223,journal article
1826,31445223,multicenter study
1826,31445223,review
1827,31130277,journal article
1828,31413523,journal article
1828,31413523,review
1829,33136508,news
1830,31269070,journal article
1830,31269070,"research support, non-u.s. gov't"
1830,31269070,review
1831,32725833,case reports
1831,32725833,journal article
1832,32873977,journal article
1833,33374322,journal article
1833,33374322,review
1834,33310694,journal article
1834,33310694,"research support, non-u.s. gov't"
1835,30946677,journal article
1835,30946677,"research support, non-u.s. gov't"
1835,30946677,review
1836,32687813,journal article
1837,32807389,letter
1838,33351729,journal article
1838,33351729,observational study
1838,33351729,"research support, n.i.h., extramural"
1838,33351729,"research support, non-u.s. gov't"
1839,31618607,journal article
1839,31618607,multicenter study
1839,31618607,"research support, non-u.s. gov't"
1840,33455891,comment
1840,33455891,letter
1841,32301763,case reports
1841,32301763,journal article
1842,32438483,journal article
1842,32438483,multicenter study
1842,32438483,randomized controlled trial
1842,32438483,"research support, non-u.s. gov't"
1843,32947023,editorial
1844,31434042,journal article
1844,31434042,review
1845,31503539,journal article
1847,31278607,journal article
1847,31278607,review
1848,31778885,journal article
1848,31778885,"research support, non-u.s. gov't"
1848,31778885,review
1849,32662243,journal article
1849,32662243,review
1850,30783824,journal article
1850,30783824,review
1851,32267239,journal article
1851,32267239,"research support, non-u.s. gov't"
1851,32267239,review
1852,30891675,journal article
1852,30891675,review
1853,31573915,journal article
1853,31573915,"research support, non-u.s. gov't"
1853,31573915,review
1854,31644412,journal article
1854,31644412,meta-analysis
1855,32142961,journal article
1855,32142961,randomized controlled trial
1855,32142961,"research support, non-u.s. gov't"
1856,31955410,"clinical trial, phase i"
1856,31955410,journal article
1856,31955410,randomized controlled trial
1856,31955410,"research support, non-u.s. gov't"
1857,31654966,journal article
1857,31654966,"research support, non-u.s. gov't"
1858,32858339,journal article
1858,32858339,"research support, non-u.s. gov't"
1858,32858339,review
1858,32858339,systematic review
1859,33074759,journal article
1860,32162666,journal article
1860,32162666,review
1861,32438016,journal article
1862,32717188,journal article
1863,31081450,journal article
1864,32591132,journal article
1864,32591132,review
1866,32511110,journal article
1866,32511110,randomized controlled trial
1866,32511110,"research support, non-u.s. gov't"
1867,32772708,journal article
1867,32772708,"research support, non-u.s. gov't"
1867,32772708,review
1868,33328036,comment
1868,33328036,journal article
1869,30917695,journal article
1869,30917695,practice guideline
1869,30917695,review
1870,33267723,journal article
1870,33267723,multicenter study
1870,33267723,"research support, n.i.h., extramural"
1871,31021744,journal article
1871,31021744,"research support, non-u.s. gov't"
1872,32552412,journal article
1872,32552412,"research support, u.s. gov't, non-p.h.s."
1873,32593010,journal article
1874,33414063,journal article
1874,33414063,review
1875,31307082,letter
1876,33295296,journal article
1876,33295296,"research support, non-u.s. gov't"
1876,33295296,review
1876,33295296,systematic review
1877,32596680,journal article
1877,32596680,"research support, u.s. gov't, p.h.s."
1877,32596680,review
1878,33036135,journal article
1879,33035684,letter
1880,29318443,journal article
1880,29318443,"research support, n.i.h., extramural"
1881,31973633,journal article
1881,31973633,randomized controlled trial
1883,33095109,journal article
1883,33095109,"research support, non-u.s. gov't"
1884,31021123,journal article
1885,32495032,journal article
1886,33830035,journal article
1886,33830035,"research support, n.i.h., extramural"
1886,33830035,"research support, non-u.s. gov't"
1887,31929355,journal article
1888,32599060,journal article
1888,32599060,"research support, non-u.s. gov't"
1889,33936416,journal article
1889,33936416,"research support, non-u.s. gov't"
1890,32673503,journal article
1891,32501747,journal article
1892,33079264,journal article
1893,33279151,journal article
1893,33279151,"research support, u.s. gov't, non-p.h.s."
1894,32957030,letter
1895,32539313,letter
1896,32328807,journal article
1897,31942603,journal article
1897,31942603,"research support, n.i.h., extramural"
1898,31067981,journal article
1898,31067981,"research support, non-u.s. gov't"
1899,33331824,journal article
1900,31077802,journal article
1901,32597998,journal article
1902,31221870,clinical trial protocol
1902,31221870,journal article
1902,31221870,"research support, non-u.s. gov't"
1903,30956795,evaluation study
1903,30956795,journal article
1903,30956795,"research support, non-u.s. gov't"
1904,33275527,journal article
1904,33275527,"research support, u.s. gov't, non-p.h.s."
1905,32769667,journal article
1906,31599985,journal article
1906,31599985,"research support, u.s. gov't, non-p.h.s."
1907,31899587,journal article
1907,31899587,"research support, non-u.s. gov't"
1908,32052871,journal article
1909,32762457,letter
1909,32762457,randomized controlled trial
1909,32762457,"research support, non-u.s. gov't"
1910,32535140,journal article
1910,32535140,practice guideline
1911,32534936,practice guideline
1912,31599844,journal article
1913,33301362,journal article
1913,33301362,multicenter study
1913,33301362,randomized controlled trial
1913,33301362,"research support, non-u.s. gov't"
1914,32002732,journal article
1914,32002732,meta-analysis
1914,32002732,systematic review
1915,31161796,journal article
1915,31161796,meta-analysis
1915,31161796,systematic review
1916,30813112,clinical trial protocol
1916,30813112,comparative study
1916,30813112,journal article
1916,30813112,"research support, n.i.h., extramural"
1916,30813112,"research support, non-u.s. gov't"
1917,30686652,journal article
1918,33216004,journal article
1918,33216004,"research support, non-u.s. gov't"
1919,30874886,journal article
1919,30874886,multicenter study
1919,30874886,randomized controlled trial
1920,30668690,journal article
1920,30668690,review
1921,31760593,journal article
1921,31760593,"research support, non-u.s. gov't"
1921,31760593,systematic review
1922,32425183,journal article
1923,31747080,comparative study
1923,31747080,journal article
1923,31747080,meta-analysis
1923,31747080,systematic review
1924,31072808,journal article
1925,32187035,journal article
1926,33150128,journal article
1927,33203312,journal article
1928,30847488,letter
1928,30847488,"research support, non-u.s. gov't"
1929,31118368,journal article
1929,31118368,multicenter study
1930,31669047,journal article
1930,31669047,multicenter study
1930,31669047,randomized controlled trial
1930,31669047,"research support, non-u.s. gov't"
1931,32717653,journal article
1931,32717653,multicenter study
1932,32730616,comment
1932,32730616,journal article
1933,30702437,journal article
1933,30702437,"research support, non-u.s. gov't"
1934,32570485,journal article
1935,33266245,journal article
1935,33266245,"research support, non-u.s. gov't"
1936,32357234,journal article
1937,32297943,comment
1937,32297943,journal article
1938,33384398,journal article
1938,33384398,"research support, non-u.s. gov't"
1939,33107056,journal article
1939,33107056,"research support, n.i.h., extramural"
1941,31540042,journal article
1942,33063412,journal article
1942,33063412,randomized controlled trial
1942,33063412,"research support, non-u.s. gov't"
1943,31368447,journal article
1943,31368447,"research support, non-u.s. gov't"
1944,32330546,letter
1946,31397321,journal article
1947,33320699,journal article
1947,33320699,"research support, n.i.h., extramural"
1948,32019822,journal article
1948,32019822,"research support, non-u.s. gov't"
1949,32130133,journal article
1949,32130133,"research support, non-u.s. gov't"
1950,32648924,journal article
1950,32648924,randomized controlled trial
1950,32648924,"research support, n.i.h., extramural"
1950,32648924,"research support, non-u.s. gov't"
1950,32648924,"research support, u.s. gov't, p.h.s."
1951,31596679,journal article
1951,31596679,"research support, n.i.h., extramural"
1952,32012065,journal article
1952,32012065,validation study
1953,31818220,journal article
1953,31818220,"research support, n.i.h., extramural"
1953,31818220,"research support, non-u.s. gov't"
1954,32580977,journal article
1954,32580977,multicenter study
1954,32580977,randomized controlled trial
1954,32580977,"research support, non-u.s. gov't"
1955,32431021,letter
1956,31946736,journal article
1956,31946736,"research support, non-u.s. gov't"
1957,33051232,journal article
1957,33051232,meta-analysis
1957,33051232,systematic review
1958,33045653,journal article
1959,31578088,journal article
1959,31578088,multicenter study
1960,32417952,journal article
1960,32417952,randomized controlled trial
1961,32441658,journal article
1961,32441658,randomized controlled trial
1961,32441658,"research support, non-u.s. gov't"
1962,32487432,letter
1963,33126782,journal article
1964,30898833,journal article
1964,30898833,"research support, non-u.s. gov't"
1964,30898833,systematic review
1965,32176191,journal article
1965,32176191,multicenter study
1965,32176191,randomized controlled trial
1965,32176191,"research support, non-u.s. gov't"
1966,32519964,journal article
1967,30872070,letter
1969,30699018,journal article
1969,30699018,"research support, n.i.h., extramural"
1970,32501275,journal article
1970,32501275,"research support, non-u.s. gov't"
1971,32812883,journal article
1971,32812883,"research support, non-u.s. gov't"
1972,32716302,journal article
1972,32716302,"research support, non-u.s. gov't"
1973,31313863,journal article
1974,32281764,journal article
1975,30924194,journal article
1976,32668446,journal article
1977,32540232,journal article
1977,32540232,"research support, non-u.s. gov't"
1978,33200590,journal article
1979,32761638,journal article
1980,32130116,journal article
1980,32130116,randomized controlled trial
1980,32130116,"research support, non-u.s. gov't"
1981,33275106,journal article
1981,33275106,"research support, u.s. gov't, non-p.h.s."
1982,30744419,journal article
1983,30724744,journal article
1983,30724744,"research support, non-u.s. gov't"
1984,33328029,journal article
1984,33328029,"research support, n.i.h., extramural"
1984,33328029,"research support, non-u.s. gov't"
1985,33021489,journal article
1985,33021489,"research support, non-u.s. gov't"
1986,33185554,journal article
1986,33185554,meta-analysis
1986,33185554,systematic review
1987,31566344,journal article
1988,31751811,journal article
1988,31751811,"research support, non-u.s. gov't"
1989,32868257,journal article
1989,32868257,multicenter study
1989,32868257,observational study
1990,33256959,journal article
1991,32315732,journal article
1992,31651986,journal article
1993,31107287,comparative study
1993,31107287,journal article
1994,32212988,journal article
1995,32342703,comparative study
1995,32342703,journal article
1995,32342703,multicenter study
1995,32342703,randomized controlled trial
1995,32342703,"research support, non-u.s. gov't"
1996,32463534,letter
1996,32463534,"research support, non-u.s. gov't"
1997,32314970,journal article
1997,32314970,randomized controlled trial
1997,32314970,"research support, non-u.s. gov't"
1998,31651259,journal article
1998,31651259,"research support, non-u.s. gov't"
1999,31533713,evaluation study
1999,31533713,journal article
2000,33350962,journal article
2000,33350962,observational study
2001,30987962,journal article
2002,31804895,journal article
2003,31094337,journal article
2003,31094337,"research support, n.i.h., extramural"
2003,31094337,"research support, non-u.s. gov't"
2004,30604099,journal article
2004,30604099,"research support, non-u.s. gov't"
2004,30604099,systematic review
2005,31547890,journal article
2006,32041097,journal article
2007,32332322,journal article
2007,32332322,"research support, non-u.s. gov't"
2008,32901765,journal article
2009,31118331,journal article
2010,32249065,journal article
2010,32249065,meta-analysis
2010,32249065,systematic review
2011,32098894,journal article
2011,32098894,observational study
2011,32098894,"research support, n.i.h., extramural"
2012,31299903,journal article
2012,31299903,meta-analysis
2012,31299903,"research support, non-u.s. gov't"
2012,31299903,systematic review
2013,31461123,journal article
2013,31461123,multicenter study
2013,31461123,"research support, non-u.s. gov't"
2014,32247013,journal article
2014,32247013,practice guideline
2015,31063856,journal article
2016,31714393,journal article
2016,31714393,randomized controlled trial
2017,31375610,journal article
2017,31375610,"research support, non-u.s. gov't"
2017,31375610,systematic review
2018,31132996,journal article
2018,31132996,multicenter study
2018,31132996,randomized controlled trial
2018,31132996,"research support, non-u.s. gov't"
2019,32109200,journal article
2019,32109200,"research support, non-u.s. gov't"
2019,32109200,"research support, u.s. gov't, p.h.s."
2020,31166587,journal article
2021,31025897,journal article
2022,33021485,journal article
2023,30747765,journal article
2024,33470323,letter
2025,32426953,letter
2026,32565461,journal article
2026,32565461,"research support, non-u.s. gov't"
2027,31909717,journal article
2027,31909717,"research support, non-u.s. gov't"
2028,32884251,journal article
2029,31435951,journal article
2030,31991918,journal article
2031,31645064,journal article
2033,31814140,journal article
2033,31814140,randomized controlled trial
2034,32894988,journal article
2035,31220101,journal article
2035,31220101,"research support, non-u.s. gov't"
2036,31406459,journal article
2037,32573737,journal article
2038,32624303,journal article
2039,30892271,journal article
2040,32578540,journal article
2041,32734882,evaluation study
2041,32734882,journal article
2043,32246229,journal article
2044,31534325,journal article
2044,31534325,multicenter study
2044,31534325,"research support, non-u.s. gov't"
2045,33322678,journal article
2045,33322678,randomized controlled trial
2045,33322678,"research support, non-u.s. gov't"
2046,31854212,journal article
2046,31854212,"research support, non-u.s. gov't"
2047,30821691,journal article
2047,30821691,"research support, n.i.h., extramural"
2047,30821691,"research support, non-u.s. gov't"
2048,32379055,journal article
2048,32379055,"research support, non-u.s. gov't"
2050,31738217,journal article
2050,31738217,systematic review
2051,30778018,clinical trial protocol
2051,30778018,letter
2052,30617040,journal article
2052,30617040,multicenter study
2052,30617040,"research support, non-u.s. gov't"
2053,31873052,journal article
2053,31873052,observational study
2053,31873052,"research support, non-u.s. gov't"
2054,30829067,journal article
2054,30829067,"research support, n.i.h., extramural"
2055,32328669,evaluation study
2055,32328669,journal article
2055,32328669,multicenter study
2056,31857341,journal article
2056,31857341,observational study
2057,32706745,journal article
2057,32706745,"research support, u.s. gov't, p.h.s."
2058,32665344,journal article
2058,32665344,multicenter study
2058,32665344,randomized controlled trial
2058,32665344,"research support, non-u.s. gov't"
2059,29554380,journal article
2059,29554380,"research support, non-u.s. gov't"
2060,33174847,journal article
2060,33174847,"research support, non-u.s. gov't"
2060,33174847,systematic review
2061,32390365,journal article
2062,30471130,journal article
2063,31365443,journal article
2064,30669678,journal article
2065,32921586,journal article
2066,32595027,journal article
2066,32595027,systematic review
2067,30869651,journal article
2067,30869651,"research support, non-u.s. gov't"
2068,32827338,case reports
2068,32827338,letter
2069,31725920,journal article
2071,30881538,journal article
2071,30881538,observational study
2072,32539257,journal article
2073,31769527,journal article
2073,31769527,meta-analysis
2073,31769527,systematic review
2074,30681003,journal article
2074,30681003,"research support, n.i.h., extramural"
2074,30681003,"research support, non-u.s. gov't"
2075,31782661,journal article
2075,31782661,"research support, non-u.s. gov't"
2076,32881685,journal article
2076,32881685,"research support, non-u.s. gov't"
2077,30604310,comparative study
2077,30604310,journal article
2077,30604310,"research support, non-u.s. gov't"
2078,31980512,journal article
2078,31980512,multicenter study
2078,31980512,randomized controlled trial
2078,31980512,"research support, non-u.s. gov't"
2079,31066623,journal article
2080,32357888,journal article
2080,32357888,"research support, non-u.s. gov't"
2081,31992604,journal article
2082,33250059,journal article
2083,31371293,journal article
2083,31371293,observational study
2084,32014033,clinical trial protocol
2084,32014033,journal article
2085,31294910,journal article
2085,31294910,multicenter study
2085,31294910,observational study
2086,32628426,journal article
2086,32628426,observational study
2087,31343582,journal article
2087,31343582,randomized controlled trial
2087,31343582,"research support, n.i.h., extramural"
2087,31343582,"research support, non-u.s. gov't"
2088,32628688,journal article
2088,32628688,randomized controlled trial
2088,32628688,"research support, non-u.s. gov't"
2089,31182100,journal article
2089,31182100,systematic review
2090,32811480,journal article
2090,32811480,randomized controlled trial
2091,33084586,journal article
2091,33084586,"research support, non-u.s. gov't"
2092,32763875,journal article
2092,32763875,"research support, non-u.s. gov't"
2093,30782070,controlled clinical trial
2093,30782070,journal article
2094,33371027,journal article
2094,33371027,randomized controlled trial
2094,33371027,"research support, n.i.h., extramural"
2094,33371027,"research support, n.i.h., intramural"
2094,33371027,"research support, non-u.s. gov't"
2095,31046996,journal article
2096,32206315,journal article
2097,32171884,journal article
2097,32171884,"research support, non-u.s. gov't"
2098,31195650,journal article
2098,31195650,randomized controlled trial
2098,31195650,"research support, non-u.s. gov't"
2099,31810441,journal article
2099,31810441,"research support, non-u.s. gov't"
2100,31047704,journal article
2100,31047704,multicenter study
2101,31220127,journal article
2101,31220127,"research support, non-u.s. gov't"
2102,33140715,journal article
2103,32297946,journal article
2103,32297946,randomized controlled trial
2104,31516036,journal article
2105,33284510,journal article
2106,31710981,journal article
2107,32192438,journal article
2108,32407288,journal article
2109,31140445,journal article
2109,31140445,"research support, non-u.s. gov't"
2110,30975047,journal article
2110,30975047,randomized controlled trial
2111,30952832,clinical study
2111,30952832,journal article
2112,30793735,journal article
2112,30793735,multicenter study
2112,30793735,randomized controlled trial
2112,30793735,"research support, non-u.s. gov't"
2113,30945992,journal article
2113,30945992,"research support, non-u.s. gov't"
2114,30806625,journal article
2116,30868756,journal article
2116,30868756,"research support, non-u.s. gov't"
2117,31512999,journal article
2118,32156763,"clinical trial, phase ii"
2118,32156763,journal article
2118,32156763,randomized controlled trial
2118,32156763,"research support, non-u.s. gov't"
2119,30085018,comparative study
2119,30085018,journal article
2119,30085018,multicenter study
2119,30085018,validation study
2120,32795997,case reports
2120,32795997,journal article
2121,32073430,journal article
2122,32188310,journal article
2122,32188310,randomized controlled trial
2123,32726561,journal article
2124,31929560,journal article
2124,31929560,"research support, non-u.s. gov't"
2124,31929560,validation study
2125,32515740,journal article
2125,32515740,randomized controlled trial
2125,32515740,"research support, non-u.s. gov't"
2126,31350836,journal article
2126,31350836,"research support, non-u.s. gov't"
2127,30478478,journal article
2127,30478478,"research support, non-u.s. gov't"
2128,31441838,journal article
2128,31441838,observational study
2129,32720900,journal article
2129,32720900,"research support, non-u.s. gov't"
2129,32720900,validation study
2130,31849254,journal article
2131,30786051,journal article
2132,31488496,journal article
2132,31488496,multicenter study
2133,31623589,journal article
2134,33109254,journal article
2134,33109254,randomized controlled trial
2136,32027309,journal article
2137,32819184,journal article
2137,32819184,meta-analysis
2137,32819184,systematic review
2138,33091572,journal article
2139,32985997,journal article
2140,30910624,journal article
2141,32881081,journal article
2141,32881081,systematic review
2142,31611112,journal article
2143,33554583,journal article
2144,32667217,comment
2144,32667217,editorial
2145,32436616,journal article
2146,32071124,case reports
2146,32071124,journal article
2148,31480941,congress
2149,31389339,journal article
2149,31389339,"research support, non-u.s. gov't"
2150,30995686,evaluation study
2150,30995686,journal article
2150,30995686,"research support, non-u.s. gov't"
2151,31199276,journal article
2151,31199276,"research support, n.i.h., extramural"
2151,31199276,"research support, non-u.s. gov't"
2152,31490566,journal article
2152,31490566,randomized controlled trial
2154,29955890,journal article
2154,29955890,multicenter study
2154,29955890,observational study
2155,30803322,journal article
2156,31815678,journal article
2156,31815678,randomized controlled trial
2157,32738577,journal article
2157,32738577,meta-analysis
2157,32738577,systematic review
2158,31088306,journal article
2158,31088306,"research support, non-u.s. gov't"
2159,32500416,journal article
2160,32305146,journal article
2160,32305146,multicenter study
2160,32305146,"research support, non-u.s. gov't"
2161,33388006,journal article
2162,32241367,journal article
2162,32241367,multicenter study
2162,32241367,randomized controlled trial
2162,32241367,"research support, non-u.s. gov't"
2163,32763199,journal article
2164,32159517,journal article
2165,30823864,journal article
2166,31230373,journal article
2167,29733406,journal article
2167,29733406,"research support, non-u.s. gov't"
2168,31735786,journal article
2168,31735786,randomized controlled trial
2169,32354452,journal article
2169,32354452,multicenter study
2170,32349382,journal article
2170,32349382,review
2171,31678305,journal article
2171,31678305,"research support, n.i.h., extramural"
2171,31678305,review
2172,31825132,journal article
2172,31825132,review
2173,31242394,letter
2173,31242394,"research support, non-u.s. gov't"
2174,31286545,journal article
2174,31286545,multicenter study
2174,31286545,"research support, non-u.s. gov't"
2174,31286545,validation study
2175,30824913,case reports
2175,30824913,journal article
2176,33037989,journal article
2176,33037989,randomized controlled trial
2176,33037989,"research support, n.i.h., extramural"
2176,33037989,"research support, non-u.s. gov't"
2177,33034510,comparative study
2177,33034510,letter
2177,33034510,randomized controlled trial
2179,32769863,controlled clinical trial
2179,32769863,journal article
2180,31253696,journal article
2180,31253696,meta-analysis
2180,31253696,"research support, non-u.s. gov't"
2180,31253696,systematic review
2181,30536931,journal article
2181,30536931,"research support, non-u.s. gov't"
2182,31157660,journal article
2182,31157660,observational study
2183,32972313,journal article
2183,32972313,"research support, n.i.h., extramural"
2184,31499101,journal article
2185,32540298,journal article
2185,32540298,practice guideline
2186,32391799,journal article
2186,32391799,"research support, non-u.s. gov't"
2187,31783800,clinical trial protocol
